,marka,seri,model,paket,yil,fiyat,sira,paket_label,seri_label
63,audi,a6,a6-allroad-quattro,2.5-tdi,2001.0,11.782960235741939,1,1,1
64,audi,a6,a6-avant,3.0-tdi-quattro,2005.0,12.644330802262578,1,1,2
65,audi,a6,a6-avant,2.0-tdi-quattro,2016.0,13.304686600863562,1,2,2
66,audi,a6,a6-sedan,2.5-tdi,1995.0,10.968215530759236,1,1,3
67,audi,a6,a6-sedan,1.8-t,2002.5,11.581738557517475,1,2,3
68,audi,a6,a6-sedan,2.8,1998.0,11.608244735642321,1,3,3
69,audi,a6,a6-sedan,2.0-tdi,2011.6904761904761,12.807655372286902,1,4,3
70,audi,a6,a6-sedan,3.0-tdi-quattro,2011.2857142857142,12.829336379587506,1,5,3
71,audi,a6,a6-sedan,2.0-tdi-limousine,2013.5,13.068500503209286,1,6,3
72,audi,a6,a6-sedan,2.0-tfsi-quattro,2017.3333333333333,13.465954500233115,1,7,3
73,audi,a6,a6-sedan,2.0-tdi-quattro,2016.6923076923076,13.487007879880162,1,8,3
74,audi,a6,a6-sedan,40-tdi,2020.0,14.104379471646553,1,9,3
75,audi,a7,2.0-tfsi,1,2016.0,13.652404397256468,1,1,1
76,audi,a7,3.0-tdi,1,2012.3333333333333,13.318234016917728,1,1,2
77,audi,a7,40-tdi,1,2019.0,14.38082493519599,1,1,3
78,audi,a8,2.0-tfsi-quattro,1,2016.0,14.508658238524095,1,1,1
79,audi,a8,3.0-tdi,quattro,2009.0,12.657151449598695,1,1,2
80,audi,a8,3.0-tdi,quattro-long,2014.0,13.910821646859095,1,2,2
81,audi,a8,4.2,quattro-long,2000.0,11.736077016252437,1,1,3
82,audi,a8,50-tdi,quattro-long,2020.0,14.962913328262083,1,1,4
83,audi,r8,4.2-fsi,quattro-r-tronic,2008.0,14.065898989798988,1,1,1
84,audi,s-serisi,s3,2.0-tfsi-quattro,2016.0,13.30641980289068,1,1,1
85,audi,s-serisi,s5,4.2-fsi-quattro,2009.0,13.091906231773164,1,1,2
86,audi,s-serisi,s7,4.0-tfsi-quattro,2013.0,13.989464705423494,1,1,3
87,audi,tt,2.0,tfsi-quattro,2009.0,12.721888795877375,1,1,1
88,bentley,continental,gt-speed,1,2012.0,14.654920677467821,1,1,1
89,bmw,1-serisi,116d,joy-plus,2015.5,12.494305825095816,1,1,1
90,bmw,1-serisi,116d,joy,2015.75,12.511638001917525,1,2,1
91,bmw,1-serisi,116d,one-edition,2016.0,12.636233618255941,1,3,1
92,bmw,1-serisi,116d,premium-line,2017.0,12.660331092405906,1,4,1
93,bmw,1-serisi,116d,m-plus,2015.5,12.680551514274015,1,5,1
94,bmw,1-serisi,116d,m-sport,2016.5,12.78593404958582,1,6,1
95,bmw,1-serisi,116d,first-edition-m-sport,2020.0,13.100351597979397,1,7,1
96,bmw,1-serisi,116d-ed,efficientdynamics,2013.7142857142858,12.25486757159303,1,1,2
97,bmw,1-serisi,116i,standart,2008.0,11.839966907582609,1,1,3
98,bmw,1-serisi,116i,premium,2010.875,12.147986568476469,1,2,3
99,bmw,1-serisi,116i,urban-line,2012.0,12.25486757159303,1,3,3
100,bmw,1-serisi,116i,sport-line,2012.0,12.29452230579281,1,4,3
101,bmw,1-serisi,116i,comfort,2013.2857142857142,12.323860125621126,1,5,3
102,bmw,1-serisi,116i,m-sport,2012.8333333333333,12.329385019294502,1,6,3
103,bmw,1-serisi,116i,joy-edition,2012.5,12.338579535662143,1,7,3
104,bmw,1-serisi,118i,standart,2007.0,11.852456717781493,1,1,4
105,bmw,1-serisi,118i,joy-plus,2015.5,12.500316806267788,1,2,4
106,bmw,1-serisi,118i,m-plus,2014.6666666666667,12.6410997921206,1,3,4
107,bmw,1-serisi,118i,m-sport,2017.0,12.791080452981857,1,4,4
108,bmw,1-serisi,118i,first-edition-m-sport,2019.0,13.034626646500051,1,5,4
109,bmw,1-serisi,120d,1,2005.0,11.884495917930655,1,1,5
110,bmw,1-serisi,120i,standart,2009.0,12.388398368982115,1,1,6
111,bmw,1-serisi,120i,m-plus,2015.0,12.73080413304066,1,2,6
112,bmw,2-serisi,216d-gran-coupe,first-edition-sport-line,2020.0,13.02805489573287,1,1,1
113,bmw,2-serisi,216d-gran-coupe,first-edition-m-sport,2020.0,13.185240858362224,1,2,1
114,bmw,2-serisi,218i,techno,2015.0,12.791080452981857,1,1,2
115,bmw,2-serisi,218i,m-sport,2015.0,12.834683971615659,1,2,2
116,bmw,2-serisi,218i-active-tourer,sport-line,2015.0,12.537176929007302,1,1,3
117,bmw,2-serisi,218i-gran-coupe,first-edition-m-sport,2020.0,13.1421679654829,1,1,4
118,bmw,2-serisi,220d,m-sport,2014.0,12.660331092405906,1,1,5
119,bmw,2-serisi,220d,standart,2014.0,13.049794835104816,1,2,5
120,bmw,3-serisi,316,1,1985.0,10.859018228147887,1,1,1
121,bmw,3-serisi,316ci,1,1994.0,11.270866642542865,1,1,2
122,bmw,3-serisi,316i,standart,2002.6666666666667,11.711784520403112,1,1,3
123,bmw,3-serisi,316i,premium,2007.3333333333333,12.00762780434872,1,2,3
124,bmw,3-serisi,316i,sport,2011.0,12.245298166364206,1,3,3
125,bmw,3-serisi,316i,sport-line,2013.0,12.367345048436391,1,4,3
126,bmw,3-serisi,316i,modern-line,2012.2,12.445093483000798,1,5,3
127,bmw,3-serisi,316i,technology,2013.0,12.468440756144114,1,6,3
128,bmw,3-serisi,316i,comfort,2012.75,12.533539233289657,1,7,3
129,bmw,3-serisi,316i,techno-plus,2013.0,12.53591184256869,1,8,3
130,bmw,3-serisi,316i,m-sport,2013.8947368421052,12.650761671914688,1,9,3
131,bmw,3-serisi,316i,luxury-line,2014.0,12.718899265966332,1,10,3
132,bmw,3-serisi,316ti,compact,2002.6,11.362114203075018,1,1,4
133,bmw,3-serisi,318ci,1,2001.5,11.761252360525269,1,1,5
134,bmw,3-serisi,318d,premium,2009.0,11.915058360753719,1,1,6
135,bmw,3-serisi,318d,sport-plus,2017.0,12.814481318719762,1,2,6
136,bmw,3-serisi,318d,m-plus,2017.0,12.826651821423713,1,3,6
137,bmw,3-serisi,318i,standart,1997.9,11.456351698168247,1,1,7
138,bmw,3-serisi,318i,m-joy-plus,2015.3333333333333,12.754196944209095,1,2,7
139,bmw,3-serisi,318i,prestige,2017.0,12.799402253235032,1,3,7
140,bmw,3-serisi,318i,m-joy,2015.6,12.80216086806413,1,4,7
141,bmw,3-serisi,318i,premium-line,2017.75,12.839866604965795,1,5,7
142,bmw,3-serisi,318i,edition-sport-line,2017.0,12.847271053765942,1,6,7
143,bmw,3-serisi,318i,m-plus,2017.0,12.89295272879663,1,7,7
144,bmw,3-serisi,318i,m-sport,2017.0,12.924966713081925,1,8,7
145,bmw,3-serisi,318i,edition-m-sport,2018.0,12.999798854490653,1,9,7
146,bmw,3-serisi,318is,1,1993.5,11.163357023537525,1,1,8
147,bmw,3-serisi,320ci,1,2001.0,11.775297421715827,1,1,9
148,bmw,3-serisi,320d,premium,2009.7333333333333,12.190964083849375,1,1,10
149,bmw,3-serisi,320d,comfort,2011.5,12.318198593976307,1,2,10
150,bmw,3-serisi,320d,edition-comfort,2011.3333333333333,12.341472114806919,1,3,10
151,bmw,3-serisi,320d,standart,2010.8333333333333,12.406051723526943,1,4,10
152,bmw,3-serisi,320d,m-sport,2011.6206896551723,12.574185427296195,1,5,10
153,bmw,3-serisi,320d,luxury,2012.25,12.576642822835158,1,6,10
154,bmw,3-serisi,320d,m-plus,2013.0,12.628070334272698,1,7,10
155,bmw,3-serisi,320d,sport-line,2012.6666666666667,12.648153290594461,1,8,10
156,bmw,3-serisi,320d,technology,2013.5,12.691465181756065,1,9,10
157,bmw,3-serisi,320d,techno-plus,2014.2857142857142,12.691583538230217,1,10,10
158,bmw,3-serisi,320d,modern-line,2013.75,12.714469380842772,1,11,10
159,bmw,3-serisi,320d,premium-line,2018.0,13.06685278163674,1,12,10
160,bmw,3-serisi,320d,edition-m-sport,2018.0,13.208542908506082,1,13,10
161,bmw,3-serisi,320d-xdrive,modern-line,2013.0,12.634606283893019,1,1,11
162,bmw,3-serisi,320d-xdrive,techno-plus,2013.4,12.75130259456002,1,2,11
163,bmw,3-serisi,320d-xdrive,luxury-line,2013.5,12.7593657516688,1,3,11
164,bmw,3-serisi,320d-xdrive,sport-plus,2017.0,13.032440858057756,1,4,11
165,bmw,3-serisi,320i,320i,2000.05,11.516914758101024,1,1,12
166,bmw,3-serisi,320i,cabrio,1999.6,12.07254696717504,1,2,12
167,bmw,3-serisi,320i,premium,2007.5714285714287,12.08954444723597,1,3,12
168,bmw,3-serisi,320i,first-edition-sport-line,2020.5,13.42290821932632,1,4,12
169,bmw,3-serisi,320i,first-edition-m-sport,2019.888888888889,13.4786043324922,1,5,12
170,bmw,3-serisi,320i-ed,standart,2014.0,12.544254716767583,1,1,13
171,bmw,3-serisi,320i-ed,techno-plus,2013.75,12.664283669661064,1,2,13
172,bmw,3-serisi,320i-ed,modern-line,2013.2,12.691583538230217,1,3,13
173,bmw,3-serisi,320i-ed,luxury-m-plus,2015.0,12.703816069256568,1,4,13
174,bmw,3-serisi,320i-ed,edition,2016.0,12.757082940769225,1,5,13
175,bmw,3-serisi,320i-ed,modern-line-plus,2014.5,12.762055666334945,1,6,13
176,bmw,3-serisi,320i-ed,sport-plus,2014.0,12.767270424052247,1,7,13
177,bmw,3-serisi,320i-ed,sport-line,2014.4782608695652,12.779875885354993,1,8,13
178,bmw,3-serisi,320i-ed,m-plus,2014.6,12.793862088206213,1,9,13
179,bmw,3-serisi,320i-ed,luxury-line-plus,2014.6666666666667,12.814481318719762,1,10,13
180,bmw,3-serisi,320i-ed,luxury-line,2015.0,12.937240300013613,1,11,13
181,bmw,3-serisi,320i-ed,40th-year-edition,2015.56,12.971542813248437,1,12,13
182,bmw,3-serisi,325ci,1,1983.0,11.39640288460621,1,1,14
183,bmw,3-serisi,325i,touring,1991.0,11.657034466915164,1,1,15
184,bmw,3-serisi,328i,328i,1998.0,11.967187086434018,1,1,16
185,bmw,3-serisi,328i,m-sport,2012.0,13.437175577097312,1,2,16
186,bmw,3-serisi,330ci,1,2000.75,11.822575479115109,1,1,17
187,bmw,3-serisi,330i,standart,2003.0,12.051242933924291,1,1,18
188,bmw,4-serisi,418i,prestige,2016.0,13.091906231773164,1,1,1
189,bmw,4-serisi,418i,m-sport,2018.0,13.171155446333852,1,2,1
190,bmw,4-serisi,418i-gran-coupe,gran-coupe,2016.0,12.898472046572692,1,1,2
191,bmw,4-serisi,418i-gran-coupe,m-sport,2015.5555555555557,12.919024904363686,1,2,2
192,bmw,4-serisi,418i-gran-coupe,pure,2018.0,13.120363378739663,1,3,2
193,bmw,4-serisi,420d,sport-line,2014.0,12.936036208848487,1,1,3
194,bmw,4-serisi,420d,luxury-line,2014.0,13.369225017834633,1,2,3
195,bmw,4-serisi,420d,m-sport,2014.4444444444443,13.376619474731143,1,3,3
196,bmw,4-serisi,420d-gran-coupe,m-sport,2015.0,13.180634172318978,1,1,4
197,bmw,4-serisi,420d-xdrive,sport-line,2014.0,13.005831808336863,1,1,5
198,bmw,4-serisi,420d-xdrive-gran-coupe,gran-coupe,2016.0,13.270785106659046,1,1,6
199,bmw,4-serisi,420d-xdrive-gran-coupe,m-sport,2016.6666666666667,13.539758373899955,1,2,6
200,bmw,4-serisi,428i,428i,2014.0,13.579789490265188,1,1,7
201,bmw,4-serisi,428i-xdrive,m-sport,2013.0,13.049794835104816,1,1,8
202,bmw,4-serisi,430i-cabrio-edition-m-sport,1,2021.0,14.457364444136669,1,1,9
203,bmw,4-serisi,430i-coupe-edition-m-sport,1,2020.0,13.90626583447433,1,1,10
204,bmw,4-serisi,430i-xdrive,m-sport,2018.0,13.790193775620484,1,1,11
205,bmw,5-serisi,520d,touring,2012.0,11.461642696843066,1,1,1
206,bmw,5-serisi,520d,standart,2007.2857142857142,12.21842389083755,1,2,1
207,bmw,5-serisi,520d,premium,2010.5806451612902,12.53897064502647,1,3,1
208,bmw,5-serisi,520d,dynamic,2011.0,12.608202196848836,1,4,1
209,bmw,5-serisi,520d,m-sport,2010.0869565217392,12.644330802262578,1,5,1
210,bmw,5-serisi,520d,exclusive,2011.142857142857,12.663500657121004,1,6,1
211,bmw,5-serisi,520d,comfort,2011.8666666666666,12.80078251189375,1,7,1
212,bmw,5-serisi,520d-gran-turismo,luxury-line,2013.0,13.244582780038517,1,1,2
213,bmw,5-serisi,520d-xdrive,luxury-line,2017.0,13.541075028051122,1,1,3
214,bmw,5-serisi,520i,business,1998.0,11.547336553476635,1,1,4
215,bmw,5-serisi,520i,standart,2000.5,11.74993118051048,1,2,4
216,bmw,5-serisi,520i,comfort,2013.3,12.863591883328528,1,3,4
217,bmw,5-serisi,520i,premium,2014.5714285714287,12.959846800844963,1,4,4
218,bmw,5-serisi,520i,executive,2015.5714285714287,13.02033286667615,1,5,4
219,bmw,5-serisi,520i,m-sport,2015.642857142857,13.203934589448338,1,6,4
220,bmw,5-serisi,520i,executive-plus,2016.0,13.217675375388819,1,7,4
221,bmw,5-serisi,520i,prestige,2017.0,13.36672189153255,1,8,4
222,bmw,5-serisi,520i,special-edition-luxury,2017.0,13.376014672788862,1,9,4
223,bmw,5-serisi,520i,executive-luxury-line,2017.0,13.3882669377196,1,10,4
224,bmw,5-serisi,520i,comfort-plus,2018.0,13.399996629152975,1,11,4
225,bmw,5-serisi,520i,luxury-line,2017.5714285714287,13.41354083387756,1,12,4
226,bmw,5-serisi,520i,sport-line,2017.6666666666667,13.437175577097312,1,13,4
227,bmw,5-serisi,520i,executive-m-sport,2016.642857142857,13.446243563231038,1,14,4
228,bmw,5-serisi,520i,special-edition-luxury-line,2020.0,13.721200977393528,1,15,4
229,bmw,5-serisi,520i,special-edition-m-sport,2020.2727272727273,13.800397935382136,1,16,4
230,bmw,5-serisi,525d,standart,2003.0,12.301387370778713,1,1,5
231,bmw,5-serisi,525d-xdrive,xdrive,2013.0,12.80216086806413,1,1,6
232,bmw,5-serisi,525d-xdrive,exclusive,2012.0,12.807655372286902,1,2,6
233,bmw,5-serisi,525d-xdrive,comfort,2012.6,12.847929163278053,1,3,6
234,bmw,5-serisi,525d-xdrive,luxury,2013.0,12.938338920192747,1,4,6
235,bmw,5-serisi,525d-xdrive,m-sport,2013.1666666666667,12.97821122013821,1,5,6
236,bmw,5-serisi,525d-xdrive,premium,2014.2307692307693,13.089325590507455,1,6,6
237,bmw,5-serisi,525d-xdrive,executive-m-sport,2013.8333333333333,13.106408473631372,1,7,6
238,bmw,5-serisi,525d-xdrive,executive-plus,2016.0,13.39239204133378,1,8,6
239,bmw,5-serisi,525i,standart,1997.3333333333333,11.187901446709345,1,1,7
240,bmw,5-serisi,525tds,standart,1995.0,10.55843949396453,1,1,8
241,bmw,5-serisi,528i,standart,1997.0,11.487617913343598,1,1,9
242,bmw,5-serisi,528i-xdrive,comfort,2012.0,13.02805489573287,1,1,10
243,bmw,5-serisi,530-xdrive,standart,2006.0,12.464587201678082,1,1,11
244,bmw,5-serisi,530d,comfort,2001.0,11.630717389475995,1,1,12
245,bmw,5-serisi,530d,standart,2003.0,12.130811919238116,1,2,12
246,bmw,5-serisi,530i,standart,2003.3333333333333,12.301387370778713,1,1,13
247,bmw,5-serisi,530i,luxury-line,2017.0,13.472317185024512,1,2,13
248,bmw,5-serisi,530i,executive-m,2017.0,13.790193775620484,1,3,13
249,bmw,5-serisi,535d,standart,2009.0,13.151924121391561,1,1,14
250,bmw,5-serisi,535i,1,2010.0,13.279368835614243,1,1,15
251,bmw,5-serisi,540i,standart,1996.5,12.253732678601082,1,1,16
252,bmw,6-serisi,630ci,630ci,2006.0,12.542544882151386,1,1,1
253,bmw,6-serisi,630i,cabrio,2008.0,13.171155446333852,1,1,2
254,bmw,6-serisi,630i-gran-turismo,m-sport,2021.0,14.493544608328255,1,1,3
255,bmw,6-serisi,640d-xdrive,gran-coupe-pure-experience,2015.0,13.68767832281738,1,1,4
256,bmw,6-serisi,640i,exclusive,2012.0,13.60479076121576,1,1,5
257,bmw,6-serisi,640xd,640xd,2014.0,13.976779556623864,1,1,6
258,bmw,7-serisi,728i,1,1996.0,11.703554089007538,1,1,1
259,bmw,7-serisi,728i-long,1,1997.0,11.461642696843066,1,1,2
260,bmw,7-serisi,730d,standart,2009.5,12.94295581115252,1,1,3
261,bmw,7-serisi,730d-long,individual-edition,2008.0,12.468440756144114,1,1,4
262,bmw,7-serisi,730i-long,pure-excellence,2020.0,14.78059183496017,1,1,5
263,bmw,7-serisi,735i-long,1,2004.0,12.577639650232573,1,1,6
264,bmw,7-serisi,740d-xdrive,standart,2011.0,13.554147092530322,1,1,7
265,bmw,7-serisi,740d-xdrive-long,pure-excellence,2020.0,15.11023799953124,1,1,8
266,bmw,7-serisi,740e-xdrive-long,pure-excellence,2018.0,14.626441218624949,1,1,9
267,bmw,7-serisi,740i,1,2001.5,12.48006673950291,1,1,10
268,bmw,7-serisi,740i-long,1,2009.0,13.07107218827772,1,1,11
269,bmw,i-serisi,i3,pure,2014.0,12.560247968016562,1,1,1
270,bmw,i-serisi,i3,edition-electric,2020.0,13.28787951079572,1,2,1
271,bmw,m-serisi,m3,1,2000.6666666666667,13.1421679654829,1,1,1
272,bmw,m-serisi,m3-cabrio,1,2002.0,13.377007146164305,1,1,2
273,bmw,m-serisi,m3-coupe,1,2008.0,13.56178021370709,1,1,3
274,bmw,m-serisi,m5,1,2012.0,14.269766465162304,1,1,4
275,bmw,z-serisi,z4,2.2,2004.0,12.367345048436391,1,1,1
276,bmw,z-serisi,z4,2.5,2003.0,12.54254845357358,1,2,1
277,bmw,z-serisi,z4,3.5i-sdrive,2009.0,13.38318953651709,1,3,1
278,bmw,z-serisi,z4,3.0i-sdrive,2019.6666666666667,13.963931425151141,1,4,1
279,cadillac,cts,2.8,1,2008.0,12.948012371209098,1,1,1
280,chery,kimo,1.3,forza,2011.0,11.231901180182515,1,1,1
281,chevrolet,aveo,1.2,s,2008.0,11.14426021753711,1,1,1
282,chevrolet,aveo,1.2,ls,2013.0,11.532737896139919,1,2,1
283,chevrolet,aveo,1.3-d,lt,2012.5,11.672524392101703,1,1,2
284,chevrolet,aveo,1.3-d,ltz,2012.0,11.86710429621008,1,2,2
285,chevrolet,aveo,1.4,s,2007.0,11.19135563385109,1,1,3
286,chevrolet,aveo,1.4,lt,2011.5,11.734273797359089,1,2,3
287,chevrolet,aveo,1.4,ltz,2013.0,11.849404844423074,1,3,3
288,chevrolet,corvette,c6,1,2007.0,14.058457520888082,1,1,1
289,chevrolet,cruze,1.6,lt,2012.0,11.59451466851004,1,1,1
290,chevrolet,cruze,1.6,ls,2010.3333333333333,11.652696102959753,1,2,1
291,chevrolet,cruze,1.6,sport,2013.0,11.652696102959753,1,3,1
292,chevrolet,cruze,1.6,lt-plus,2011.6666666666667,11.684784142914062,1,4,1
293,chevrolet,cruze,1.6,design-edition-plus,2011.0,11.732069026983156,1,5,1
294,chevrolet,cruze,1.6,ls-plus,2010.75,11.735076022933068,1,6,1
295,chevrolet,cruze,1.6,sport-plus,2012.25,11.831221154611807,1,7,1
296,chevrolet,cruze,2.0-d,ltz,2012.0,11.724004532183379,1,1,2
297,chevrolet,epica,2.0-d-lt,1,2010.6666666666667,11.820417517632333,1,1,1
298,chevrolet,kalos,1.2,se,2005.0,10.819798284210286,1,1,1
299,chevrolet,kalos,1.4,se,2005.0,11.066623469663964,1,1,2
300,chevrolet,kalos,1.4,sx,2005.0,11.323591377758436,1,2,2
301,chevrolet,lacetti,1.4,se,2004.5,11.3169715896444,1,1,1
302,chevrolet,lacetti,1.6,cdx,2010.0,11.39640288460621,1,1,2
303,chevrolet,rezzo,1.6-sx-comfort,1,2005.0,11.225256725762893,1,1,1
304,chrysler,300-c,3.0-crd,1,2007.8333333333333,12.447829479162912,1,1,1
305,citroen,c-elysee,1.2,live,2019.0,11.771443882099637,1,1,1
306,citroen,c-elysee,1.2-vti,confort,2013.0,11.602149969922262,1,1,2
307,citroen,c-elysee,1.5-bluehdi,shine,2020.0,12.117246896289503,1,1,3
308,citroen,c-elysee,1.6-bluehdi,feel,2018.0,11.816734299348461,1,1,4
309,citroen,c-elysee,1.6-bluehdi,live,2018.0,11.827743504053695,1,2,4
310,citroen,c-elysee,1.6-hdi,confort,2015.3333333333333,11.630717389475995,1,1,5
311,citroen,c-elysee,1.6-hdi,attraction,2014.9,11.676922616938697,1,2,5
312,citroen,c-elysee,1.6-hdi,exclusive,2014.2,11.678448377988165,1,3,5
313,citroen,c-elysee,1.6-hdi,feel,2017.0,11.776066064329214,1,4,5
314,citroen,c-elysee,1.6-hdi,live,2017.0,11.813037464800539,1,5,5
315,citroen,c-elysee,1.6-hdi,shine,2017.0,11.8511889534843,1,6,5
316,citroen,c1,1.4-hdi,sx,2007.0,11.205054290550551,1,1,1
317,citroen,c2,1.4,sx,2004.5,11.219220642068851,1,1,1
318,citroen,c2,1.4-hdi,sx,2005.6666666666667,11.046929793122029,1,1,2
319,citroen,c3,1.2-puretech,shine-s-edition,2020.0,12.100717685412471,1,1,1
320,citroen,c3,1.2-puretech,shine,2020.0,12.328294703023394,1,2,1
321,citroen,c3,1.2-puretech,feel,2021.0,12.337105293891872,1,3,1
322,citroen,c3,1.2-puretech,feel-bold,2021.0,12.370233914287454,1,4,1
323,citroen,c3,1.4,sx,2004.6666666666667,11.149096419938578,1,1,2
324,citroen,c3,1.4,comfort,2010.0,11.459007676978688,1,2,2
325,citroen,c3,1.4-hdi,sx,2004.0,11.170449240431308,1,1,3
326,citroen,c3,1.4-hdi,x-furio,2006.5,11.310642471325998,1,2,3
327,citroen,c3,1.4-hdi,exclusive,2011.0,11.326607934898927,1,3,3
328,citroen,c3,1.4-hdi,confort,2012.0,11.445727410406752,1,4,3
329,citroen,c3,1.4-hdi,attraction,2011.0,11.500356809294374,1,5,3
330,citroen,c3,1.6-bluehdi,live,2017.0,11.744045122410057,1,1,4
331,citroen,c3,1.6-hdi,sx,2006.0,11.089820688682373,1,1,5
332,citroen,c3-picasso,1.6-hdi,sx,2011.5,11.814565993598624,1,1,1
333,citroen,c4,1.4,sx,2006.6,11.350418300109132,1,1,1
